name,function,systematicName,allInteractors.participant.symbol,allInteractors.participant.secondaryIdentifier,allInteractors.biologicalRole,allInteractors.stoichiometry,allInteractors.type,identifier,properties,accession,allInteractors.participant.genes.primaryIdentifier,complex.link
DNF2-LEM3 P4-ATPase complex,"A membrane pump which actively translocates, or flips, phospholipids across cell membranes from the exoplasmic to the cytoplasmic leaflet of the lipid bilayer. This generates and maintains membrane lipid asymmetry, a property essential for a wide variety of cellular processes such as vesicle budding and intracellular vesicle trafficking. Transport is accomplished by cyclic changes between two main enzyme conformations, during which the DNF2 ATPase is phosphorylated by ATP at a conserved aspartate residue (Asp-712) and subsequently dephosphorylated. These processes are coupled to vectorial transport and counter-transport by a controlled opening and closing of cytoplasmic and exoplasmic pathways, which give access to the ion-binding sites that are buried inside the membrane-spanning region of the pump. Also involved in transport of the tryptophan permease TAT2 to the plasma membrane.",DNF2:LEM3,Dnf2p,YDR093W,unspecified role,?,protein,EBI:EBI-13643430,The membrane  domain of DNF2 serves as the pathway for translocation of lipid substrates across cell membranes and is predicted to contain 10 transmembrane segments. LEM3 is a membrane glycoprotein.  ,CPX-1022,SGD:S000002500,https://www.yeastgenome.org/complex/CPX-1022
DNF2-LEM3 P4-ATPase complex,"A membrane pump which actively translocates, or flips, phospholipids across cell membranes from the exoplasmic to the cytoplasmic leaflet of the lipid bilayer. This generates and maintains membrane lipid asymmetry, a property essential for a wide variety of cellular processes such as vesicle budding and intracellular vesicle trafficking. Transport is accomplished by cyclic changes between two main enzyme conformations, during which the DNF2 ATPase is phosphorylated by ATP at a conserved aspartate residue (Asp-712) and subsequently dephosphorylated. These processes are coupled to vectorial transport and counter-transport by a controlled opening and closing of cytoplasmic and exoplasmic pathways, which give access to the ion-binding sites that are buried inside the membrane-spanning region of the pump. Also involved in transport of the tryptophan permease TAT2 to the plasma membrane.",DNF2:LEM3,Lem3p,YNL323W,enzyme,?,protein,EBI:EBI-13643430,The membrane  domain of DNF2 serves as the pathway for translocation of lipid substrates across cell membranes and is predicted to contain 10 transmembrane segments. LEM3 is a membrane glycoprotein.  ,CPX-1022,SGD:S000005267,https://www.yeastgenome.org/complex/CPX-1022
DNF3-CRF1 P4-ATPase complex,"A membrane pump which actively translocates, or flips, phospholipids across cell membranes from the exoplasmic to the cytoplasmic leaflet of the lipid bilayer. This generates and maintains membrane lipid asymmetry, a property essential for a wide variety of cellular processes such as vesicle budding and intracellular vesicle trafficking. Transport is accomplished by cyclic changes between two main enzyme conformations, during which the DNF3 ATPase is phosphorylated by ATP at a conserved aspartate residue (Asp-566) and subsequently dephosphorylated. These processes are coupled to vectorial transport and counter-transport by a controlled opening and closing of cytoplasmic and exoplasmic pathways, which give access to the ion-binding sites that are buried inside the membrane-spanning region of the pump.",DNF3:YNR048W,Dnf3p,YMR162C,unspecified role,?,protein,EBI:EBI-13644891,The membrane  domain of DNF3 serves as the pathway for translocation of lipid substrates across cell membranes and is predicted to contain 10 transmembrane segments. YNR048W is a membrane glycoprotein.  ,CPX-1026,SGD:S000004772,https://www.yeastgenome.org/complex/CPX-1026
DNF3-CRF1 P4-ATPase complex,"A membrane pump which actively translocates, or flips, phospholipids across cell membranes from the exoplasmic to the cytoplasmic leaflet of the lipid bilayer. This generates and maintains membrane lipid asymmetry, a property essential for a wide variety of cellular processes such as vesicle budding and intracellular vesicle trafficking. Transport is accomplished by cyclic changes between two main enzyme conformations, during which the DNF3 ATPase is phosphorylated by ATP at a conserved aspartate residue (Asp-566) and subsequently dephosphorylated. These processes are coupled to vectorial transport and counter-transport by a controlled opening and closing of cytoplasmic and exoplasmic pathways, which give access to the ion-binding sites that are buried inside the membrane-spanning region of the pump.",DNF3:YNR048W,Ynr048Wp,YNR048W,enzyme,?,protein,EBI:EBI-13644891,The membrane  domain of DNF3 serves as the pathway for translocation of lipid substrates across cell membranes and is predicted to contain 10 transmembrane segments. YNR048W is a membrane glycoprotein.  ,CPX-1026,SGD:S000005331,https://www.yeastgenome.org/complex/CPX-1026
NEO1-MON2-ARL1-DOP1 membrane remodeling complex,Functions in vesicle trafficking within the Golgi/endosomal system with a putative role in membrane remodeling at the tubular endosomal network and the trans-Golgi network interface,ARL1:DOP1:MON2:NEO1,Arl1p,YBR164C,?,?,protein,EBI:EBI-13645317,?,CPX-1028,SGD:S000000368,https://www.yeastgenome.org/complex/CPX-1028
NEO1-MON2-ARL1-DOP1 membrane remodeling complex,Functions in vesicle trafficking within the Golgi/endosomal system with a putative role in membrane remodeling at the tubular endosomal network and the trans-Golgi network interface,ARL1:DOP1:MON2:NEO1,Dop1p,YDR141C,?,?,protein,EBI:EBI-13645317,?,CPX-1028,SGD:S000002548,https://www.yeastgenome.org/complex/CPX-1028
NEO1-MON2-ARL1-DOP1 membrane remodeling complex,Functions in vesicle trafficking within the Golgi/endosomal system with a putative role in membrane remodeling at the tubular endosomal network and the trans-Golgi network interface,ARL1:DOP1:MON2:NEO1,Mon2p,YNL297C,?,?,protein,EBI:EBI-13645317,?,CPX-1028,SGD:S000005241,https://www.yeastgenome.org/complex/CPX-1028
NEO1-MON2-ARL1-DOP1 membrane remodeling complex,Functions in vesicle trafficking within the Golgi/endosomal system with a putative role in membrane remodeling at the tubular endosomal network and the trans-Golgi network interface,ARL1:DOP1:MON2:NEO1,Neo1p,YIL048W,?,?,protein,EBI:EBI-13645317,?,CPX-1028,SGD:S000001310,https://www.yeastgenome.org/complex/CPX-1028
DNA mismatch repair MutSbeta complex,"Mismatch repair complex, involved in the recognition and repair of insertion/deletion mismatches. Active in both targeted gene replacement in which a targeted sequence in the genome is replaced with a selectable gene from a linear targeting DNA, and the single-strand annealing pathway of recombination between direct repeats. Direct repeats flanking a double-stranded break is annealed by RAD52 (P06778) and further stabilized by MSH2-MSH3 which has similar activities on both the leading and lagging strands of replication. MSH2-MSH3 appear to facilitate targeted integration by the two-end invasion pathway while simultaneously inhibiting the single-strand assimilation pathway.",MSH2:MSH3,Msh2p,YOL090W,unspecified role,1.0,protein,EBI:EBI-1368890,?,CPX-1036,SGD:S000005450,https://www.yeastgenome.org/complex/CPX-1036
DNA mismatch repair MutSbeta complex,"Mismatch repair complex, involved in the recognition and repair of insertion/deletion mismatches. Active in both targeted gene replacement in which a targeted sequence in the genome is replaced with a selectable gene from a linear targeting DNA, and the single-strand annealing pathway of recombination between direct repeats. Direct repeats flanking a double-stranded break is annealed by RAD52 (P06778) and further stabilized by MSH2-MSH3 which has similar activities on both the leading and lagging strands of replication. MSH2-MSH3 appear to facilitate targeted integration by the two-end invasion pathway while simultaneously inhibiting the single-strand assimilation pathway.",MSH2:MSH3,Msh3p,YCR092C,unspecified role,1.0,protein,EBI:EBI-1368890,?,CPX-1036,SGD:S000000688,https://www.yeastgenome.org/complex/CPX-1036
DNA mismatch repair MutSalpha complex,"Mismatch repair complex, involved in the recognition and repair of base-base and small insertion/deletion mismatches that appear as a consequence of DNA polymerase errors during DNA synthesis.  The complex is most effective at repairing mismatches on the lagging strand of replication. Binding to a mismatched DNA which can bend, leads to stable association of MSH2 with DNA, inhibition of its ATP activity and formation of ATP-bound MSH2-MSH6 sliding clamps.  When MSH6 is bound to mismatched DNA and MSH2 to ATP, the complex can recruit MutLalpha and initiate the repair process. Binding of MSH2-MSH6 to a mismatch and provides a recognition signal for interactions with repair proteins that are involved in subsequent steps.",MSH2:MSH6,Msh2p,YOL090W,unspecified role,1.0,protein,EBI:EBI-1370096,?,CPX-1037,SGD:S000005450,https://www.yeastgenome.org/complex/CPX-1037
DNA mismatch repair MutSalpha complex,"Mismatch repair complex, involved in the recognition and repair of base-base and small insertion/deletion mismatches that appear as a consequence of DNA polymerase errors during DNA synthesis.  The complex is most effective at repairing mismatches on the lagging strand of replication. Binding to a mismatched DNA which can bend, leads to stable association of MSH2 with DNA, inhibition of its ATP activity and formation of ATP-bound MSH2-MSH6 sliding clamps.  When MSH6 is bound to mismatched DNA and MSH2 to ATP, the complex can recruit MutLalpha and initiate the repair process. Binding of MSH2-MSH6 to a mismatch and provides a recognition signal for interactions with repair proteins that are involved in subsequent steps.",MSH2:MSH6,Msh6p,YDR097C,unspecified role,1.0,protein,EBI:EBI-1370096,?,CPX-1037,SGD:S000002504,https://www.yeastgenome.org/complex/CPX-1037
PIP2-OAF1 transcription factor complex,"Acts as a transcriptional activator to induce the transcription of genes encoding proteins involved in fatty acid beta-oxidation, a response called oleic acid induction, when cells grow on fatty acids as the sole carbon source. Recognizes and binds to the oleate response element (ORE or peroxisome box), two inverted CGG triplets spaced by 14 to 18 intervening nucleotides recently refined to CGGN3TNA/(R)N8-12CCG, in the promoter region of a number of peroxisomal genes. Activity is inhibited by OAF1 under non-inducing conditions and repressed by glucose.",PIP2:OAF1,Oaf1p,YAL051W,unspecified role,1.0,protein,EBI:EBI-1370144,?,CPX-1038,SGD:S000000048,https://www.yeastgenome.org/complex/CPX-1038
PIP2-OAF1 transcription factor complex,"Acts as a transcriptional activator to induce the transcription of genes encoding proteins involved in fatty acid beta-oxidation, a response called oleic acid induction, when cells grow on fatty acids as the sole carbon source. Recognizes and binds to the oleate response element (ORE or peroxisome box), two inverted CGG triplets spaced by 14 to 18 intervening nucleotides recently refined to CGGN3TNA/(R)N8-12CCG, in the promoter region of a number of peroxisomal genes. Activity is inhibited by OAF1 under non-inducing conditions and repressed by glucose.",PIP2:OAF1,Pip2p,YOR363C,unspecified role,1.0,protein,EBI:EBI-1370144,?,CPX-1038,SGD:S000005890,https://www.yeastgenome.org/complex/CPX-1038
COMPASS complex,"Histone methyltransferase that catalyzes methylation of Lys-4 of histone H3 and thus controls the silencing of telomeric regions. SWD1, SWD3, and SET1 constitute a core of the complex, and the absence of any of these subunits abolishes methylation of lysine 4 on histone H3. Subunits BRE2 and SDC1 are essential for trimethylation and important for mono- and dimethylation by the COMPASS complex. SPP1 is important for trimethylation, while SHG1 plays a minor role in trimethylation.",2XBRE2:SDC1:2xSET1:SHG1:2xSPP1:SWD1:SWD2:SWD3,Bre2p,YLR015W,?,2.0,protein,EBI:EBI-1370909,MW = 1MDa,CPX-1039,SGD:S000004005,https://www.yeastgenome.org/complex/CPX-1039
COMPASS complex,"Histone methyltransferase that catalyzes methylation of Lys-4 of histone H3 and thus controls the silencing of telomeric regions. SWD1, SWD3, and SET1 constitute a core of the complex, and the absence of any of these subunits abolishes methylation of lysine 4 on histone H3. Subunits BRE2 and SDC1 are essential for trimethylation and important for mono- and dimethylation by the COMPASS complex. SPP1 is important for trimethylation, while SHG1 plays a minor role in trimethylation.",2XBRE2:SDC1:2xSET1:SHG1:2xSPP1:SWD1:SWD2:SWD3,Sdc1p,YDR469W,?,1.0,protein,EBI:EBI-1370909,MW = 1MDa,CPX-1039,SGD:S000002877,https://www.yeastgenome.org/complex/CPX-1039
COMPASS complex,"Histone methyltransferase that catalyzes methylation of Lys-4 of histone H3 and thus controls the silencing of telomeric regions. SWD1, SWD3, and SET1 constitute a core of the complex, and the absence of any of these subunits abolishes methylation of lysine 4 on histone H3. Subunits BRE2 and SDC1 are essential for trimethylation and important for mono- and dimethylation by the COMPASS complex. SPP1 is important for trimethylation, while SHG1 plays a minor role in trimethylation.",2XBRE2:SDC1:2xSET1:SHG1:2xSPP1:SWD1:SWD2:SWD3,Set1p,YHR119W,?,2.0,protein,EBI:EBI-1370909,MW = 1MDa,CPX-1039,SGD:S000001161,https://www.yeastgenome.org/complex/CPX-1039
COMPASS complex,"Histone methyltransferase that catalyzes methylation of Lys-4 of histone H3 and thus controls the silencing of telomeric regions. SWD1, SWD3, and SET1 constitute a core of the complex, and the absence of any of these subunits abolishes methylation of lysine 4 on histone H3. Subunits BRE2 and SDC1 are essential for trimethylation and important for mono- and dimethylation by the COMPASS complex. SPP1 is important for trimethylation, while SHG1 plays a minor role in trimethylation.",2XBRE2:SDC1:2xSET1:SHG1:2xSPP1:SWD1:SWD2:SWD3,Shg1p,YBR258C,?,1.0,protein,EBI:EBI-1370909,MW = 1MDa,CPX-1039,SGD:S000000462,https://www.yeastgenome.org/complex/CPX-1039
COMPASS complex,"Histone methyltransferase that catalyzes methylation of Lys-4 of histone H3 and thus controls the silencing of telomeric regions. SWD1, SWD3, and SET1 constitute a core of the complex, and the absence of any of these subunits abolishes methylation of lysine 4 on histone H3. Subunits BRE2 and SDC1 are essential for trimethylation and important for mono- and dimethylation by the COMPASS complex. SPP1 is important for trimethylation, while SHG1 plays a minor role in trimethylation.",2XBRE2:SDC1:2xSET1:SHG1:2xSPP1:SWD1:SWD2:SWD3,Spp1p,YPL138C,?,2.0,protein,EBI:EBI-1370909,MW = 1MDa,CPX-1039,SGD:S000006059,https://www.yeastgenome.org/complex/CPX-1039
COMPASS complex,"Histone methyltransferase that catalyzes methylation of Lys-4 of histone H3 and thus controls the silencing of telomeric regions. SWD1, SWD3, and SET1 constitute a core of the complex, and the absence of any of these subunits abolishes methylation of lysine 4 on histone H3. Subunits BRE2 and SDC1 are essential for trimethylation and important for mono- and dimethylation by the COMPASS complex. SPP1 is important for trimethylation, while SHG1 plays a minor role in trimethylation.",2XBRE2:SDC1:2xSET1:SHG1:2xSPP1:SWD1:SWD2:SWD3,Swd1p,YAR003W,?,1.0,protein,EBI:EBI-1370909,MW = 1MDa,CPX-1039,SGD:S000000064,https://www.yeastgenome.org/complex/CPX-1039
COMPASS complex,"Histone methyltransferase that catalyzes methylation of Lys-4 of histone H3 and thus controls the silencing of telomeric regions. SWD1, SWD3, and SET1 constitute a core of the complex, and the absence of any of these subunits abolishes methylation of lysine 4 on histone H3. Subunits BRE2 and SDC1 are essential for trimethylation and important for mono- and dimethylation by the COMPASS complex. SPP1 is important for trimethylation, while SHG1 plays a minor role in trimethylation.",2XBRE2:SDC1:2xSET1:SHG1:2xSPP1:SWD1:SWD2:SWD3,Swd2p,YKL018W,?,1.0,protein,EBI:EBI-1370909,MW = 1MDa,CPX-1039,SGD:S000001501,https://www.yeastgenome.org/complex/CPX-1039
COMPASS complex,"Histone methyltransferase that catalyzes methylation of Lys-4 of histone H3 and thus controls the silencing of telomeric regions. SWD1, SWD3, and SET1 constitute a core of the complex, and the absence of any of these subunits abolishes methylation of lysine 4 on histone H3. Subunits BRE2 and SDC1 are essential for trimethylation and important for mono- and dimethylation by the COMPASS complex. SPP1 is important for trimethylation, while SHG1 plays a minor role in trimethylation.",2XBRE2:SDC1:2xSET1:SHG1:2xSPP1:SWD1:SWD2:SWD3,Swd3p,YBR175W,?,1.0,protein,EBI:EBI-1370909,MW = 1MDa,CPX-1039,SGD:S000000379,https://www.yeastgenome.org/complex/CPX-1039
SKI complex,"Central component of the 3'-5' cytoplasmic mRNA degradation pathway which interacts with Ski7 (Q08491) to mediate degradation by the exosome. The Ski complex appears to thread RNAs directly to the exosome, coupling the helicase and the exoribonuclease through a continuous RNA channel.",SKI2:SKI3:SKI8,Ski2p,YLR398C,unspecified role,1.0,protein,EBI:EBI-1371206," Ski3 forms an array of 33 TPR motifs organized in N-terminal and C-terminal arms. The C-terminal arm of Ski3 and the two Ski8 subunits position the helicase core of Ski2 centrally within the complex, enhancing RNA binding. The Ski3 N-terminal arm and the Ski2 insertion domain allosterically modulate the ATPase and helicase activities of the complex. 
MW = 370-380kDa ",CPX-1040,SGD:S000004390,https://www.yeastgenome.org/complex/CPX-1040
SKI complex,"Central component of the 3'-5' cytoplasmic mRNA degradation pathway which interacts with Ski7 (Q08491) to mediate degradation by the exosome. The Ski complex appears to thread RNAs directly to the exosome, coupling the helicase and the exoribonuclease through a continuous RNA channel.",SKI2:SKI3:SKI8,Ski3p,YPR189W,enzyme,1.0,protein,EBI:EBI-1371206," Ski3 forms an array of 33 TPR motifs organized in N-terminal and C-terminal arms. The C-terminal arm of Ski3 and the two Ski8 subunits position the helicase core of Ski2 centrally within the complex, enhancing RNA binding. The Ski3 N-terminal arm and the Ski2 insertion domain allosterically modulate the ATPase and helicase activities of the complex. 
MW = 370-380kDa ",CPX-1040,SGD:S000006393,https://www.yeastgenome.org/complex/CPX-1040
SKI complex,"Central component of the 3'-5' cytoplasmic mRNA degradation pathway which interacts with Ski7 (Q08491) to mediate degradation by the exosome. The Ski complex appears to thread RNAs directly to the exosome, coupling the helicase and the exoribonuclease through a continuous RNA channel.",SKI2:SKI3:SKI8,Ski3p,YPR189W,unspecified role,1.0,protein,EBI:EBI-1371206," Ski3 forms an array of 33 TPR motifs organized in N-terminal and C-terminal arms. The C-terminal arm of Ski3 and the two Ski8 subunits position the helicase core of Ski2 centrally within the complex, enhancing RNA binding. The Ski3 N-terminal arm and the Ski2 insertion domain allosterically modulate the ATPase and helicase activities of the complex. 
MW = 370-380kDa ",CPX-1040,SGD:S000006393,https://www.yeastgenome.org/complex/CPX-1040
SKI complex,"Central component of the 3'-5' cytoplasmic mRNA degradation pathway which interacts with Ski7 (Q08491) to mediate degradation by the exosome. The Ski complex appears to thread RNAs directly to the exosome, coupling the helicase and the exoribonuclease through a continuous RNA channel.",SKI2:SKI3:SKI8,Ski8p,YGL213C,unspecified role,2.0,protein,EBI:EBI-1371206," Ski3 forms an array of 33 TPR motifs organized in N-terminal and C-terminal arms. The C-terminal arm of Ski3 and the two Ski8 subunits position the helicase core of Ski2 centrally within the complex, enhancing RNA binding. The Ski3 N-terminal arm and the Ski2 insertion domain allosterically modulate the ATPase and helicase activities of the complex. 
MW = 370-380kDa ",CPX-1040,SGD:S000003181,https://www.yeastgenome.org/complex/CPX-1040
DASH complex,"Heterodecameric component of the kinetochore necessary for accurate chromosome segregation, supporting the dynamic attachment of mitotic chromosomes to the ends of shortening spindle microtubules. DASH forms closed rings around microtubules with a large gap between the DASH ring and the microtubule cylinder. A DASH-microtubule interface is believed to form, in which extensions from DASH rings reach across a gap between the ring and the microtubule and dock on the microtubule wall. DASH rings spontaneously oligomerize in the presence of microtubules of the mitotic spindle. DASH rings are processivity factors that allow kinetochores to translate along a single microtubule without dissociating. Each DASH ring may contain from 16-30 heterodecamers. The NDC80 complex (CPX-548) can simultaneously bind and bridge across two DASH complex rings through a tripartite interaction, each component of which is regulated by IPL1 kinase (P38991). This ensures a consistent spacing between rings. The complex may also may serve as a link between the kinetochore and the mitotic spindle.",ASK1:DAD1:DAD2:DAD3:DAD4:DAM1:DUO1 :HSK3:SPC19:SPC34,Ask1p,YKL052C,unspecified role,1.0,protein,EBI:EBI-1379972,"MW of the heterodecamer = 211 +/- 16 kDa, MW of the DASH ring = 5 MDa. The heterodecamer is relatively globular in solution with a 130-150 A diameter. The Stokes radius of 76 A is larger than expected for a 200-kDa protein. Along with the calculated frictional coefficient of 1.90, this  suggests either an elongated shape or the presence of unstructured extensions. EM images suggest a 16-fold symmetry.",CPX-1041,SGD:S000001535,https://www.yeastgenome.org/complex/CPX-1041
DASH complex,"Heterodecameric component of the kinetochore necessary for accurate chromosome segregation, supporting the dynamic attachment of mitotic chromosomes to the ends of shortening spindle microtubules. DASH forms closed rings around microtubules with a large gap between the DASH ring and the microtubule cylinder. A DASH-microtubule interface is believed to form, in which extensions from DASH rings reach across a gap between the ring and the microtubule and dock on the microtubule wall. DASH rings spontaneously oligomerize in the presence of microtubules of the mitotic spindle. DASH rings are processivity factors that allow kinetochores to translate along a single microtubule without dissociating. Each DASH ring may contain from 16-30 heterodecamers. The NDC80 complex (CPX-548) can simultaneously bind and bridge across two DASH complex rings through a tripartite interaction, each component of which is regulated by IPL1 kinase (P38991). This ensures a consistent spacing between rings. The complex may also may serve as a link between the kinetochore and the mitotic spindle.",ASK1:DAD1:DAD2:DAD3:DAD4:DAM1:DUO1 :HSK3:SPC19:SPC34,Dad1p,YDR016C,unspecified role,1.0,protein,EBI:EBI-1379972,"MW of the heterodecamer = 211 +/- 16 kDa, MW of the DASH ring = 5 MDa. The heterodecamer is relatively globular in solution with a 130-150 A diameter. The Stokes radius of 76 A is larger than expected for a 200-kDa protein. Along with the calculated frictional coefficient of 1.90, this  suggests either an elongated shape or the presence of unstructured extensions. EM images suggest a 16-fold symmetry.",CPX-1041,SGD:S000002423,https://www.yeastgenome.org/complex/CPX-1041
