primaryIdentifier,secondaryIdentifier,symbol,name,sgdAlias,briefDescription,chromosome.primaryIdentifier,chromosomeLocation.start,chromosomeLocation.end,chromosomeLocation.strand,organism.shortName,featureType,gene.link
SGD:S000002210,YDL052C,SLC1,SphingoLipid Compensation,1-acylglycerol-3-phosphate O-acyltransferase SLC1,1-acyl-sn-glycerol-3-phosphate acyltransferase,chrIV,362672,363583,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002210
SGD:S000001915,YFR019W,FAB1,Forms Aploid and Binucleate cells,1-phosphatidylinositol-3-phosphate 5-kinase|SVL7,1-phosphatidylinositol-3-phosphate 5-kinase,chrVI,184502,191338,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001915
SGD:S000006485,YNCL0021C,RDN25-2,?,25S ribosomal RNA|26S rRNA|RDN25,25S ribosomal RNA (25S rRNA),chrXII,460923,464318,-1,S. cerevisiae,rRNA gene,https://www.yeastgenome.org/locus/S000006485
SGD:S000006484,YNCL0012C,RDN25-1,?,25S ribosomal RNA|26S rRNA|RDN25,25S ribosomal RNA (25S rRNA),chrXII,451786,455181,-1,S. cerevisiae,rRNA gene,https://www.yeastgenome.org/locus/S000006484
SGD:S000001105,YHR063C,PAN5,PANtothenate biosynthesis,2-dehydropantoate 2-reductase PAN5,2-dehydropantoate 2-reductase,chrVIII,224030,225169,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001105
SGD:S000001086,YHR044C,DOG1,DeOxyGlucose,2-deoxyglucose-6-phosphatase,2-deoxyglucose-6-phosphate phosphatase,chrVIII,194068,194808,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001086
SGD:S000001085,YHR043C,DOG2,DeOxyGlucose,2-deoxyglucose-6-phosphatase,2-deoxyglucose-6-phosphate phosphatase,chrVIII,192805,193545,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001085
SGD:S000000230,YBR026C,ETR1,2-Enoyl Thioester Reductase,enoyl-[acyl-carrier-protein] reductase|MRF1|MRF1',2-enoyl thioester reductase,chrII,292877,294019,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000230
SGD:S000000355,YBR151W,APD1,Actin Patches Distal,?,2Fe-2S cytosolic protein of unknown function,chrII,545028,545978,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000355
SGD:S000004514,YML050W,AIM32,Altered Inheritance rate of Mitochondria,?,2Fe-2S mitochondrial protein involved in redox quality control,chrXIII,173139,174074,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004514
SGD:S000004578,YML110C,COQ5,COenzyme Q,"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase|DBI56","2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase",chrXIII,50031,50954,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004578
SGD:S000000797,YEL071W,DLD3,D-Lactate Dehydrogenase,D-lactate dehydrogenase,"2-hydroxyglutarate transhydrogenase, and minor D-lactate dehydrogenase",chrV,16355,17845,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000797
SGD:S000006210,YPR006C,ICL2,IsoCitrate Lyase,methylisocitrate lyase ICL2,2-methylisocitrate lyase of the mitochondrial matrix,chrXVI,567269,568996,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000006210
SGD:S000005485,YOL125W,TRM13,TRna Methyltransferase,tRNA:m4X modification enzyme,2'-O-methyltransferase,chrXV,83834,85264,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005485
SGD:S000002270,YDL112W,TRM3,Transfer RNA Methyltransferase,tRNA (guanosine(18)-2'-O)-methyltransferase,2'-O-ribose methyltransferase,chrIV,258915,263225,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002270
SGD:S000000265,YBR061C,TRM7,Transfer RNA Methyltransferase,tRNA methyltransferase TRM7,2'-O-ribose methyltransferase,chrII,364787,365719,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000265
SGD:S000002895,YDR487C,RIB3,RIBoflavin biosynthesis,"3,4-dihydroxy-2-butanone-4-phosphate synthase RIB3","3,4-dihydroxy-2-butanone-4-phosphate synthase (DHBP synthase)",chrIV,1428354,1428980,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002895
SGD:S000001441,YIR002C,MPH1,Mutator PHenotype,3'-5' DNA helicase,3'-5' DNA helicase involved in error-free bypass of DNA lesions,chrIX,357415,360396,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001441
SGD:S000002699,YDR291W,HRQ1,Homologous to RecQ protein,ATP-dependent 3'-5' DNA helicase,3'-5' DNA helicase of the conserved RecQ family,chrIV,1039728,1042961,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002699
SGD:S000000151,YBL055C,?,?,3'-5'-exodeoxyribonuclease|Tat-D,3'-->5' exonuclease and endonuclease with a possible role in apoptosis,chrII,115573,116829,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000151
SGD:S000004587,YML118W,NGL3,?,3'-5' poly(A) RNA exonuclease,3'-5' exonuclease specific for poly-A RNAs,chrXIII,32334,33851,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004587
SGD:S000004900,YMR287C,DSS1,Deletion of SUV3 Supressor,exoribonuclease II|MSU1,3'-5' exoribonuclease,chrXIII,842436,845345,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004900
SGD:S000003508,YGR276C,RNH70,RNase H,REX1|RNA82,3'-5' exoribonuclease,chrVII,1043819,1045480,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003508
SGD:S000004049,YLR059C,REX2,Rna EXonuclease,YNT20,3'-5' RNA exonuclease,chrXII,259738,260547,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004049
SGD:S000006487,YNCL0020C,RDN37-2,?,35S pre-ribosomal RNA|RDN37,35S ribosomal RNA (35S rRNA) transcript,chrXII,460712,467569,-1,S. cerevisiae,rRNA gene,https://www.yeastgenome.org/locus/S000006487
SGD:S000006486,YNCL0010C,RDN37-1,?,35S pre-ribosomal RNA|RDN37,35S ribosomal RNA (35S rRNA) transcript,chrXII,451575,458432,-1,S. cerevisiae,rRNA gene,https://www.yeastgenome.org/locus/S000006486
SGD:S000002442,YDR035W,ARO3,AROmatic amino acid requiring,3-deoxy-7-phosphoheptulonate synthase ARO3,3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase,chrIV,521816,522928,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002442
SGD:S000000453,YBR249C,ARO4,AROmatic amino acid requiring,3-deoxy-7-phosphoheptulonate synthase ARO4,3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase,chrII,716882,717994,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000453
SGD:S000004595,YML126C,ERG13,ERGosterol biosynthesis,HMGS|hydroxymethylglutaryl-CoA synthase,3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase,chrXIII,19060,20535,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004595
SGD:S000001717,YKR009C,FOX2,Fatty acid OXidation,bifunctional hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase FOX2|POX2,3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase,chrXI,454352,457054,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001717
SGD:S000003786,YJR025C,BNA1,Biosynthesis of Nicotinic Acid,"3-hydroxyanthranilate 3,4-dioxygenase|HAD1",3-hydroxyanthranilic acid dioxygenase,chrX,471138,471671,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003786
SGD:S000001701,YKL218C,SRY1,Serine Racemase of Yeast,threo-3-hydroxy-L-aspartate ammonia-lyase SRY1,3-hydroxyaspartate dehydratase,chrXI,17359,18339,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001701
SGD:S000002443,YDR036C,EHD3,?,3-hydroxyisobutyryl-CoA hydrolase|MRP5|mS47,3-hydroxyisobutyryl-CoA hydrolase,chrIV,523211,524713,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002443
SGD:S000001422,YIL160C,POT1,Peroxisomal Oxoacyl Thiolase,acetyl-CoA C-acyltransferase|FOX3|POX3,3-ketoacyl-CoA thiolase with broad chain length specificity,chrIX,40191,41444,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001422
SGD:S000000469,YBR265W,TSC10,Temperature-sensitive Suppressors of Csg2 mutants,3-dehydrosphinganine reductase,3-ketosphinganine reductase,chrII,738582,739544,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000469
SGD:S000004090,YLR100W,ERG27,ERGosterol biosynthesis,3-keto-steroid reductase,3-keto sterol reductase,chrXII,341810,342853,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004090
SGD:S000000944,YER142C,MAG1,3-MethylAdenine DNA Glycosylase,DNA-3-methyladenine glycosylase II|MMS5,3-methyl-adenine DNA glycosylase,chrV,455146,456036,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000944
SGD:S000005511,YOL151W,GRE2,Genes de Respuesta a Estres (stress responsive genes),methylglyoxal reductase (NADPH-dependent) GRE2,3-methylbutanal reductase and NADPH-dependent methylglyoxal reductase,chrXV,43694,44722,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005511
SGD:S000006371,YPR167C,MET16,METhionine requiring,phosphoadenylyl-sulfate reductase (thioredoxin),3'-phosphoadenylsulfate reductase,chrXVI,876847,877632,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000006371
SGD:S000001336,YIL074C,SER33,SERine requiring,phosphoglycerate dehydrogenase SER33,3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase,chrIX,221081,222490,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001336
SGD:S000000883,YER081W,SER3,SERine requiring,phosphoglycerate dehydrogenase SER3,3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase,chrV,322686,324095,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000883
SGD:S000000605,YCR012W,PGK1,3-PhosphoGlycerate Kinase,phosphoglycerate kinase,3-phosphoglycerate kinase,chrIII,137746,138996,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000605
SGD:S000005710,YOR184W,SER1,SERine requiring,ADE9|O-phospho-L-serine:2-oxoglutarate transaminase,3-phosphoserine aminotransferase,chrXV,679357,680544,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005710
SGD:S000000985,YER183C,FAU1,Folinic Acid Utilization,5-formyltetrahydrofolate cyclo-ligase,"5,10-methenyltetrahydrofolate synthetase",chrV,553334,553969,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000985
SGD:S000005559,YOR033C,EXO1,EXOnuclease,DHS1|Rad2 family nuclease EXO1,5'-3' exonuclease and flap-endonuclease,chrXV,392416,394524,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005559
SGD:S000006489,YNCL0023C,RDN58-2,?,5.8S ribosomal RNA|RDN58,5.8S ribosomal RNA (5.8S rRNA),chrXII,464551,464708,-1,S. cerevisiae,rRNA gene,https://www.yeastgenome.org/locus/S000006489
SGD:S000006488,YNCL0014C,RDN58-1,?,5.8S ribosomal RNA|RDN58,5.8S ribosomal RNA (5.8S rRNA),chrXII,455414,455571,-1,S. cerevisiae,rRNA gene,https://www.yeastgenome.org/locus/S000006488
SGD:S000002640,YDR232W,HEM1,HEMe biosynthesis,5-aminolevulinate synthase|CYD1|OLE3,5-aminolevulinate synthase,chrIV,927452,929098,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002640
SGD:S000000025,YAL027W,SAW1,Single-strand Annealing Weakened,DNA-binding protein SAW1,5'- and 3'-flap DNA binding protein,chrI,94687,95472,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000025
SGD:S000003069,YGL101W,YGK1,?,5'-deoxynucleotidase,5'-deoxynucleotidase,chrVII,312193,312840,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003069
SGD:S000000446,YBR242W,?,?,5'-deoxynucleotidase|YB92,5'-deoxynucleotidase involved in deoxyribonucleoside monophosphate deg,chrII,704670,705386,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000446
SGD:S000002820,YDR412W,RRP17,Ribosomal RNA Processing,?,5' exoribonuclease required for 5' end processing of pre-60S rRNA,chrIV,1294693,1295400,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002820
SGD:S000006322,YPR118W,MRI1,MethylthioRibose-1-phosphate Isomerase,S-methyl-5-thioribose-1-phosphate isomerase MRI1,5'-methylthioribose-1-phosphate isomerase,chrXVI,767752,768987,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000006322
SGD:S000003785,YJR024C,MDE1,Methylthioribulose-1-phosphate DEhydratase,methylthioribulose 1-phosphate dehydratase MDE1,5'-methylthioribulose-1-phosphate dehydratase,chrX,470230,470964,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003785
SGD:S000001698,YKL215C,OXP1,OXoProlinase,5-oxoprolinase,5-oxoprolinase,chrXI,26827,30687,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001698
SGD:S000001003,YHL011C,PRS3,PhosphoRibosylpyrophosphate Synthetase,ribose phosphate diphosphokinase subunit PRS3,5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase,chrVIII,80654,81616,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001003
SGD:S000005422,YOL061W,PRS5,PhosphoRibosylpyrophosphate Synthetase,ribose phosphate diphosphokinase subunit PRS5,5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase,chrXV,212244,213734,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005422
SGD:S000000901,YER099C,PRS2,PhosphoRibosylpyrophosphate Synthetase,ribose phosphate diphosphokinase subunit PRS2,5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase,chrV,358105,359061,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000901
SGD:S000001664,YKL181W,PRS1,PhosphoRibosylpyrophosphate Synthetase,PRP1|ribose phosphate diphosphokinase subunit PRS1,5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase,chrXI,107316,108599,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001664
SGD:S000000164,YBL068W,PRS4,PhosphoRibosylpyrophosphate Synthetase,ribose phosphate diphosphokinase subunit PRS4,"5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP",chrII,92414,93394,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000164
SGD:S000006479,YNCL0018W,RDN5-1,?,5S ribosomal RNA|MOF9|RDN5,5S ribosomal RNA (5S rRNA),chrXII,459676,459796,1,S. cerevisiae,rRNA gene,https://www.yeastgenome.org/locus/S000006479
SGD:S000000973,YER171W,RAD3,RADiation sensitive,REM1|TFIIH/NER complex ATP-dependent 5'-3' DNA helicase subunit RAD3,5' to 3' DNA helicase,chrV,527082,529418,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000973
SGD:S000001596,YKL113C,RAD27,RADiation sensitive,ERC11|FEN1|multifunctional nuclease RAD27|RTH1,"5' to 3' exonuclease, 5' flap endonuclease",chrXI,224727,225875,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001596
SGD:S000005496,YOL136C,PFK27,6-PhosphoFructo-2-Kinase,6-phosphofructo-2-kinase|PFK-2,6-phosphofructo-2-kinase,chrXV,67561,68754,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005496
SGD:S000001369,YIL107C,PFK26,6-PhosphoFructo-2-Kinase,6-phosphofructo-2-kinase|PFK2|PFK-2,6-phosphofructo-2-kinase,chrIX,163278,165761,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001369
SGD:S000001226,YHR183W,GND1,6-phosphoGlucoNateDehydrogenase,phosphogluconate dehydrogenase (decarboxylating) GND1,6-phosphogluconate dehydrogenase (decarboxylating),chrVIII,470960,472429,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001226
SGD:S000003488,YGR256W,GND2,6-phosphoGlucoNateDehydrogenase,phosphogluconate dehydrogenase (decarboxylating) GND2,6-phosphogluconate dehydrogenase (decarboxylating),chrVII,1004624,1006102,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003488
SGD:S000001206,YHR163W,SOL3,Suppressor Of Los1-1,6-phosphogluconolactonase SOL3,6-phosphogluconolactonase,chrVIII,423724,424473,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001206
SGD:S000003480,YGR248W,SOL4,Suppressor Of Los1-1,6-phosphogluconolactonase SOL4,6-phosphogluconolactonase,chrVII,985972,986739,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003480
SGD:S000005306,YNR023W,SNF12,Sucrose NonFermenting,SWP73,73 kDa subunit of the SWI/SNF chromatin remodeling complex,chrXIV,670418,672118,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005306
SGD:S000005341,YNR058W,BIO3,BIOtin,adenosylmethionine-8-amino-7-oxononanoate transaminase,"7,8-diamino-pelargonic acid aminotransferase (DAPA)",chrXIV,734291,735733,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005341
SGD:S000004141,YLR151C,PCD1,Peroxisomal Coenzyme A Diphosphatase,8-oxo-dGTP diphosphatase,8-oxo-dGTP diphosphatase,chrXII,441715,442737,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004141
SGD:S000003903,YJR142W,?,?,?,8-oxo-dGTP diphosphatase of the Nudix hydrolase family,chrX,697141,698169,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003903
SGD:S000000284,YBR080C,SEC18,SECretory,AAA family ATPase SEC18|ANU4,AAA ATPase and SNARE disassembly chaperone,chrII,398614,400890,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000284
SGD:S000006377,YPR173C,VPS4,Vacuolar Protein Sorting,AAA family ATPase VPS4|CSC1|DID6|END13|GRD13|VPL4|VPT10,AAA-ATPase involved in multivesicular body (MVB) protein sorting,chrXVI,886524,887837,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000006377
SGD:S000002284,YDL126C,CDC48,Cell Division Cycle,AAA family ATPase CDC48,AAA ATPase with protein-unfoldase activity,chrIV,236157,238664,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002284
SGD:S000005273,YNL329C,PEX6,PEroXin,AAA family ATPase peroxin 6|PAS8,AAA-peroxin,chrXIV,19541,22633,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005273
SGD:S000001680,YKL197C,PEX1,PEroXin,AAA family ATPase peroxin 1|PAS1,AAA-peroxin,chrXI,70734,73865,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001680
SGD:S000003938,YLL015W,BPT1,Bile Pigment Transporter,ATP-binding cassette bilirubin transporter BPT1,ABC type transmembrane transporter of MRP/CFTR family,chrXII,116432,121111,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003938
SGD:S000002279,YDL121C,EXP1,ER eXport of Pma1,?,A cargo receptor protein for Pma1p,chrIV,245133,245582,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002279
SGD:S000003772,YJR011C,CAL4,Caf130-Associated regulator of RpL4,?,Accessory component of the Ccr4-NOT complex,chrX,458641,459426,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003772
SGD:S000001401,YIL139C,REV7,REVersionless,?,Accessory subunit of DNA polymerase zeta,chrIX,87979,88716,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001401
SGD:S000000603,YCR010C,ADY2,Accumulation of DYads,ATO1,Acetate transporter required for normal sporulation,chrIII,132273,133124,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000603
SGD:S000004347,YLR355C,ILV5,IsoLeucine-plus-Valine requiring,ketol-acid reductoisomerase,Acetohydroxyacid reductoisomerase and mtDNA binding protein,chrXII,838066,839253,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004347
SGD:S000004714,YMR108W,ILV2,IsoLeucine-plus-Valine requiring,acetolactate synthase catalytic subunit|SMR1|THI1,Acetolactate synthase,chrXIII,484084,486147,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004714
SGD:S000002925,YDR517W,GRH1,GRasp65 (Golgi reassembly stacking protein of 65kD) Homolog,?,"Acetylated cis-Golgi protein, homolog of human GRASP65",chrIV,1477239,1478357,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002925
SGD:S000005949,YPL028W,ERG10,ERGosterol biosynthesis,acetyl-CoA C-acetyltransferase|LPB3|TSM0115,Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase),chrXVI,498096,499292,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005949
SGD:S000005299,YNR016C,ACC1,Acetyl-CoA Carboxylase,ABP2|acetyl-CoA carboxylase ACC1|FAS3|MTR7,"Acetyl-CoA carboxylase, biotin containing enzyme",chrXIV,654673,661374,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005299
SGD:S000004143,YLR153C,ACS2,Acetyl CoA Synthetase,acetate--CoA ligase ACS2,Acetyl-coA synthetase isoform,chrXII,445524,447575,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004143
SGD:S000000050,YAL054C,ACS1,Acetyl CoA Synthetase,acetate--CoA ligase 1|FUN44,Acetyl-coA synthetase isoform,chrI,42881,45022,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000050
SGD:S000000871,YER069W,ARG56,ARGinine requiring,"ARG5,6|argB|argC|bifunctional acetylglutamate kinase/N-acetyl-gamma-glutamyl-phosphate reductase",Acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase,chrV,295410,298001,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000000871
SGD:S000003607,YJL071W,ARG2,ARGinine requiring,acetyl-CoA:L-glutamate N-acetyltransferase|HRB574,Acetylglutamate synthase (glutamate N-acetyltransferase),chrX,306132,307856,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003607
SGD:S000005500,YOL140W,ARG8,ARGinine requiring,acetylornithine transaminase,Acetylornithine aminotransferase,chrXV,58759,60030,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005500
SGD:S000003986,YLL063C,AYT1,AcetYlTransferase,acetyltransferase,Acetyltransferase,chrXII,14648,16072,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000003986
SGD:S000005076,YNL132W,KRE33,Killer toxin REsistant,ribosome biosynthesis protein KRE33|RRA1,Acetyltransferase required for biogenesis of small ribosomal subunit,chrXIV,375321,378491,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005076
SGD:S000001923,YFR027W,ECO1,Establishment of COhesion,CTF7,Acetyltransferase required for sister chromatid cohesion,chrVI,207452,208297,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001923
SGD:S000001332,YIL070C,MAM33,Mitochondrial Acidic Matrix protein,?,Acidic protein of the mitochondrial matrix,chrIX,230272,231072,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001332
SGD:S000002458,YDR051C,DET1,Decreased Ergosterol Transport,acid phosphatase DET1,Acid phosphatase,chrIV,557056,558060,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000002458
SGD:S000006230,YPR026W,ATH1,Acid TreHalase,"alpha,alpha-trehalase ATH1",Acid trehalase required for utilization of extracellular trehalose,chrXVI,615379,619014,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000006230
SGD:S000004611,YMR009W,ADI1,Acireductone DIoxygenase,acireductone dioxygenase (Ni2+-requiring),Acireductone dioxygenease involved in methionine salvage pathway,chrXIII,284102,284641,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004611
SGD:S000004295,YLR304C,ACO1,ACOnitase,aconitate hydratase ACO1|GLU1,Aconitase,chrXII,735212,737548,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004295
SGD:S000004311,YLR319C,BUD6,BUD site selection,AIP3,Actin- and formin-interacting protein,chrXII,769318,771684,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000004311
SGD:S000005707,YOR181W,LAS17,?,actin-binding protein LAS17|BEE1,Actin assembly factor,chrXV,675939,677840,1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000005707
SGD:S000001058,YHR016C,YSC84,?,LSB4,Actin-binding protein,chrVIII,136881,138455,-1,S. cerevisiae,ORF,https://www.yeastgenome.org/locus/S000001058
